KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
bkiFoodProcessor,Device used for food preparation and other organic processing. Cannot auto-assemble non-organic components or intermediate materials!,Gerät zur Verarbeitung von Nahrungsmitteln und anderen organischen Stoffen. Kann keine nicht-organischen Komponenten oder Zwischenprodukte automatisch verarbeiten.,"Dispositif culinaire, utile pour préparer, transformer et cuire la nourriture",Dispositivo utilizzato per la preparazione di alimenti e altri trattamenti organici. Non è possibile assemblare automaticamente componenti inorganici o materiali intermedi!,"Dispositivo usado para preparar alimentos y otros procesos orgánicos. ¡No puede ensamblar automáticamente componentes no orgánicos o materiales intermedios!",Dispositivo utilizado na preparação de comida ou outras transformações biológicas. Não agrupa automaticamente componentes não orgânicos ou materiais intermédios!,Dispositivo usado para preparação de alimentos e outros processos orgânicos. Não pode ser usado para fazer materiais não orgânicos ou materiais intermediários!,Urządzenie do przygotowywania pożywienia oraz przetwarzania materii organicznej. Nie jest w stanie stworzyć półproduktów z materii nieorganicznej!,Устройство используется для приготовления еды и другой обработки органики. Не может автоматически производить неорганику или промежуточные материалы!,調理及び他の有機処理を行う装置. 無機物や中間素材の自動生成はできません. ,此设备用来制造食物或有机物，不能制造非有机物或其中间材料。,用於準備食物與其他有機處理的設備。無法自動組裝無機元件或臨時材料！,식량 준비 및 기타 유기물 가공에 사용되는 장치입니다. 비유기물 성분 또는 중간 물질은 자동으로 조립할 수 없습니다!,,Συσκευή που χρησιμοποιείται για την παρασκευή τροφίμων και άλλες οργανικές επεξεργασίες. Δεν είναι δυνατή η αυτόματη συναρμολόγηση μη οργανικών εξαρτημάτων ή ενδιάμεσων υλικών!,Apparaat benodigd voor het bereiden van eten en andere organische processen. Kan geen in-organische componenten of half fabricaten maken.,Thiết bị được sử dụng để chuẩn bị thực phẩm và chế biến hữu cơ khác. Không thể tự động lắp ráp các thành phần không phải hữu cơ hoặc vật liệu trung gian!
bkiFridge,Device used for storing food. When powered stops food from perishing,Gerät zum Lagern von verderblichen Nahrungsmitteln. Stoppt Verfallszeit,Système de stockage de la nourriture. Évite à la nourriture de se périmer (doit être alimenté),Dispositivo utilizzato per la conservazione degli alimenti. Quando alimentato arresta la loro degradazione.,"Dispositivo usado para almacenar alimentos. Cuando tiene energía, evita que los alimentos se echen a perder.","Dispositivo utilizado no armazenamento de comida. Quando alimentado, impede que a comida se estrague",Dispositivo usado para armazenar alimentos. Quando ligado evita que os alimentos apodreçam,Urządzenie do przechowywania pożywienia. Jeżeli zasilone powstrzymuje jedzenie przed zepsuciem,Устройство используется для хранения пищи. Предотвращает порчу продуктов пока снабжается энергией.,食品を保存するために使用されます. 電源を入れると食品の腐敗を停止します. ,此设备用来储存食物。停电时食物将腐坏。,用於儲存食物的設備。運行時可阻止食物消失。,식량을 보관하는 데 사용되는 장치입니다. 전원이 끊어지면 식량이 상하지 않게 됩니다.,,"Συσκευή που χρησιμοποιείται για την αποθήκευση τροφίμων. Όταν τροφοδοτείται από ρεύμα, σταματάει το σάπισμα των τροφίμων.",Apparaat om voedsel op te slaan. Als er spanning op staat voorkomt deze het verotten van eten.,"Thiết bị dùng để đựng thực phẩm. Khi được cung cấp năng lượng, thực phẩm sẽ không bị hư hỏng"
bkiGenerator,"[c][ffffff]Requires [-][/c][c][7dbeff]Fuel Tank[-][/c][c][ffffff] to generate power.[-][/c]\n- -\n[c][ffffbe]Will explode when overloaded![-][/c]\n- -\n[c][ffffbe][-][/c][c][ffffff]Check power generation/usage in [-][/c][c][7dffff]Control Panel[-][/c][c][ffffff] ([-][/c][c][7dff7d]P[-][/c][c][ffffff]) > STATISTICS tab.[-][/c]\n- - \n[sup][c][b3b3b3][u]Position[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]PAGE UP/DOWN, HOME/END, INS/DEL [-][/c][/sup]\n[sup][c][b3b3b3][u]Place[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]LEFT MOUSE BUTTON (LMB)[-][/c][/sup][c][ffffff][-][/c]",Gerät zur Stromerzeugung. Benötigt Kraftstofftanks gefüllt mit Kraftstoffzellen um zu funktionieren,Groupe électrogène. Nécessite un réservoir de carburant pour fonctionner.,"[c][ffffff]Richiede [-][/c][c][7dbeff]Serbatoio di Carburante[-][/c][c][ffffff] per generare energia.[-][/c]\n- -\n[c][ffffbe]Esploderà se sovraccaricato![-][/c]\n- -\n[c][ffffbe][-][/c][c][ffffff]Tieni sotto controllo la produzione e l'utilizzo di energia nel [-][/c][c][7dffff]Pannello di Controllo[-][/c][c][ffffff] ([-][/c][c][7dff7d]P[-][/c][c][ffffff]) > STATISTICHE.[-][/c]\n- - \n[sup][c][b3b3b3][u]Rotazione[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]PAG SU/GIÙ, HOME/FINE, INS/CANC [-][/c][/sup]\n[sup][c][b3b3b3][u]Posizionamento[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]Mouse Sx[-][/c][/sup][c][ffffff][-][/c]","[c][ffffff]Requiere [-][/c][c][7dbeff]Tanque de Combustible[-][/c][c][ffffff] para generar energía.[-][/c]\n- -\n[c][ffffbe]¡Explotará si se sobrecarga![-][/c]\n- -\n[c][ffffbe][-][/c][c][ffffff]Ver generación/uso de energía en [-][/c][c][7dffff]Panel de Control[-][/c][c][ffffff] ([-][/c][c][7dff7d]P[-][/c][c][ffffff]) > pestaña ESTADÍSTICAS.[-][/c]\n- - \n[sup][c][b3b3b3][u]Posición[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]PAGE UP/DOWN, HOME/END, INS/DEL [-][/c][/sup]\n[sup][c][b3b3b3][u]Colocar[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]BOTÓN IZQUIERDO DEL RATÓN (LMB)[-][/c][/sup][c][ffffff][-][/c]",Dispositivo utilizado para gerar energia. Requer depósito de combustível com blocos de combustível para funcionar,Dispositivo usado para gerar energia. Requer um depósito de combustível cheio com pacotes de combustível para operar,Urządzenie generujące zasilanie. Wymaga wypełnionego zbiornika paliwa aby funkcjonować,"Устройство используется для производства энергии. Для работы необходим топливный бак, заполненный топливом.","[c][ffffff]発電には [-][/c][c][7dbeff]燃料タンク[-][/c][c][ffffff] が必要です.[-][/c]\n- -\n[c][ffffbe]過負荷になると爆発します! [-][/c]\n- -\n[c][7dffff]コントロールパネル[-][/c][c][ffffff] ([-][/c][c][7dff7d]P[-][/c][c][ffffff]) > 統計 タブで発電量/使用量を確認します. [-][/c]\n- -\n[sup][c][b3b3b3][u]位置[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]PAGE UP/DOWN, HOME/END, INS/DEL [-][/c][/sup]\n[sup][c][b3b3b3][u]配置[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]LEFT MOUSE BUTTON (LMB). [-][/c][/sup]",此设备用来产生电力，需要燃料罐内有燃料供给。,"[c][ffffff]需要[-][/c][c][7dbeff]燃料罐[-][/c][c][ffffff] 來運作.[-][/c]\n- -\n[c][ffffbe]當過載時會爆炸![-][/c]\n- -\n[c][ffffbe][-][/c][c][ffffff]檢查電力生成與使用狀況 [-][/c][c][7dffff]在控制台面板[-][/c][c][ffffff] ([-][/c][c][7dff7d]P[-][/c][c][ffffff]) > 狀態面板.[-][/c]\n- - \n[sup][c][b3b3b3][u]擺放[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]PAGE UP/DOWN, HOME/END, INS/DEL [-][/c][/sup]\n[sup][c][b3b3b3][u]放置[/u]: [-][/c][/sup]\n[sup][c][b3b3b3]滑鼠左鍵 (LMB)[-][/c][/sup][c][ffffff][-][/c]",전력을 생성하는 데 사용되는 장치입니다. 연료 팩이 작동하려면 탱크 연료가 충만해야 합니다.,,Συσκευή που χρησιμοποιείται για την παραγωγή ενέργειας. Απαιτεί δεξαμενή καυσίμων γεμάτη με πακέτα καυσίμων για λειτουργία,Apparaat om spanning te genereren. Heeft een brandstoftank gevuld met brandstofcellen nodig om te functioneren,Thiết bị được sử dụng để tạo ra nguồn điện. Yêu cầu bình nhiên liệu đầy gói nhiên liệu để hoạt động
bkiGravityGenerator,Generates an artificial gravity field in space,Erzeugt ein künstliches Gravitationsfeld im Weltraum,Génère un champ gravitationnel artificiel dans l'espace,Genera gravità artificiale nello spazio.,"Genera un campo de gravedad artificial en el espacio",Gera um campo de gravidade artificial no espaço,Gera um campo de gravidade artificial no espaço,Wytwarza sztuczną grawitację w kosmosie,Генерирует поле искусственной гравитации в космосе.,空間に人工的な重力を発生させます. ,此设备可以在太空中产生一块人造重力区域。,在太空中產生人造重力場,우주에서 인공 중력장을 생성합니다.,,Δημιουργεί ένα τεχνητό πεδίο βαρύτητας στο διάστημα,Genereerd een kunstmatige zwaartekracht veld in de ruimte,Tạo ra một trường trọng lực nhân tạo trong không gian
bkiGyroscope,Gyroscopic control system designed to apply multi-axis torque to a vessel without requiring additional thrusters.\n[c][00FF00]Increases vessel rotation in all directions[-][/c],Drehmomenteinheit (RCS),Dispositif requis pour permettre aux vaisseaux de tourner.,Dispositivo necessario su ogni nave per poter girare.,"Sistema de control giroscópico diseñado para aplicar torque en múltiples ejes a una nave sin requerir propulsores adicionales.\n[c][00FF00]Aumenta la rotación de la nave en todas las direcciones[-][/c]",Necessário em todas as naves para virar,Obrigatório em qualquer nave para rotação,Wymagany na każdym statku do skręcania,Требуется на любом судне для совершения поворотов.,機体を回転させるために必要です. ,所有飞船都需要此组件以转弯。,每艘飛船用於轉彎的必需品,선회하는 모든 선체에 필요합니다.,,Απαιτείται σε κάθε όχημα για να μπορεί να στρίψει,Op ieder schip nodig om te kunnen draaien,Bắt buộc trên mọi tàu để quay đầu
bkiGyroscopeGV,Gyroscopic control system designed to apply multi-axis torque to a vessel without requiring additional thrusters.\n[c][00FF00]Increases vessel rotation in all directions\nPerform an Emergency flip with Left Shift if upside-down[-][/c],Drehmomenteinheit (RCS). Wird benötigt um Notdrehung (Links Shift) zu vollführen,Dispositif requis pour permettre aux Hovers de tourner. Permet également de se redresser si couché (touche O),"Dispositivo necessario su ogni nave per poter girare, permette anche di eseguire flip di emergenza (Maiusc Sx) se capovolti.","Sistema de control giroscópico diseñado para aplicar torque en múltiples ejes a una nave sin requerir propulsores adicionales.\n[c][00FF00]Aumenta la rotación de la nave en todas las direcciones\nRealiza un volteo de emergencia con Shift izquierdo si está boca abajo[-][/c]",Necessário em todas as naves para virar. Necessário para executar uma inversão de emergência (Shift Esquerda) se virado para baixo,Obrigatório em cada nave para girar. Necessário para executar o flip de emergência (deslocamento para a esquerda) se de cabeça para baixo,"Wymagany na każdym ślizgaczu do skręcania. W przypadku przewrócenia, pozwala na wykonanie awaryjnego obrotu (Lewy Shift)","Требуется на любом судне для совершения поворотов. Необходимо для аварийного переворота (Левый Shift), когда судно вверх дном.",機体を回転させるために必要です. 逆さまになった際に緊急フリップ(左Shiftキー)を実行するためにはに必要です. ,,每艘飛船用於轉彎的必需品。上下顛倒時用於緊急翻轉（左Shift）的必需品,선회하는 모든 선체에 필요합니다. 거꾸로 표시될 경우 비상 대피(왼쪽 Shift)를 실행하는 데 필요합니다.,,Απαιτείται σε κάθε σκάφος για να μπορεί να στρίψει. Απαιτείται για να εκτελέσετε το Flip έκτακτης ανάγκης (Left Shift) εάν είναι ανάποδα,Op ieder schip nodig om te kunnen draaien. Benodigd om een nood-draai (Linker shift) te maken indien ondersteboven.,Bắt buộc trên mọi tàu để quay đầu. Bắt buộc phải thực hiện lật khẩn cấp (Shift trái) nếu lộn ngược
bkiHoverBooster,This device applies a short but strong force to allow your HV to perform a jump.,Dieses Gerät erzeugt einen kurzen aber starken Kraftimpuls der es dem BG ermöglicht einen Sprung auszuführen.,Applique une courte mais forte poussée verticale permettant à votre Hover de «sauter». \nUtilisation : \n- couper les gaz + Maj-Espace,Questo dispositivo applica una breve ma forte spinta che consente all'Hovercraft di effettuare dei salti.,"Este dispositivo aplica una fuerza corta pero potente para permitir que tu NH realice un salto.",Este dispositivo exerce uma força curta mas forte que permite à sua NF fazer um salto.,"Este dispositivo aplica uma força curta, mas forte suficiente para permitir que seu Planador faça um salto.","To urządzenie wytwarza dużą siłę, która pozwala wybić ślizgacz na krótki okres w powietrze.","Это устройство создает короткий, но мощный импульс силы, позволяющий вашему ПС совершить прыжок.","このデバイスは, Shift+Space でHVを短いが強力な力でのジャンプ  を可能にします. ",此设备可以产生一股短暂但强力的推进力使你的悬浮飞船做出跳跃动作。,此設備可提供短暫而強勁的力量，使你的懸浮飛船完成跳躍。,이 장치는 HV가 점프를 수행할 수 있도록 짧지만 강력한 힘을 가합니다.,,Αυτή η συσκευή εφαρμόζει μια μικρή αλλά ισχυρή δύναμη για να επιτρέψει στο HV να κάνει άλμα.,"Dit apparaat genereert een korte, maar sterke kracht om je HV te laten springen",Thiết bị này tác dụng một lực ngắn nhưng mạnh để cho phép HV của bạn thực hiện một bước nhảy.
bkiHull,"Standard, colourable building block",Kolorierbarer Standard Konstruktionsblock,Bloc de construction standard (peut être coloré).,"Blocco da costruzione standard, colorabile.","Bloque de construcción estándar, colorable",Bloco de construção padrão para colorir,"Bloco de construção padrão, corpulento","Standardowy, możliwy do pokolorowania blok",Стандартный окрашиваемый строительный блок,標準的な着色可能なビルディングブロック,标准的可喷涂建筑方块,標準彩色建築方塊,"표준, 다채로운 빌딩 블록",,"Τυπική, χρωματική κατασκευή","Standaard, Kleurbaar bouw blok","Khối xây dựng tiêu chuẩn, có thể tô màu"
bkiMedicinelabMS,Restores health and sets spawn point,Heilt dich und bestimmt einen Startpunkt,Rétablit les points de vie et définit un point respawn.,Ripristina la salute e imposta il punto di Rigenerazione.,"Restaura la salud y establece el punto de aparición",Repõe saúde e define ponto de criação,Restaura saúde e define ponto de spawn,Regeneruje żywotność oraz ustawia potencjalny punkt odrodzenia,Восстанавливает здоровье и устанавливает точку возрождения.,ヘルス回復作成ポイントとして利用できます,恢复生命和设置复活点,恢復生命值並設定出生點。,건강을 회복하고 스폰 지점을 설정합니다.,,Επαναφέρει την ζωή και ορίζει ένα σημείο δημιουργίας,Herstelt de gezondheid en stelt het spawn-punt in,Phục hồi máu và đặt điểm hồi sinh
bkiMultiTool,"Tool used for removing, repairing, changing, rotating and upgrading blocks","Werkzeug um Blocks zu zerlegen, aufzusammeln, reparieren, umzuwandeln, rotieren und aufzuwerten","Outil pour retirer, réparer, changer, tourner et améliorer les blocs.","Strumento utilizzato per rimuovere, riparare, cambiare, ruotare e potenziare i blocchi.","Herramienta usada para remover, reparar, cambiar, rotar y mejorar bloques","Ferramenta utilizada para eliminar, reparar, mudar, rodar e melhorar blocos","Ferramenta usada para remover, reparar, mudar, girar e melhorar blocos","Urządzenie do usuwania, naprawy, zmiany, obracania oraz ulepszania bloków","Инструмент используется для демонтажа, ремонта, изменения, вращения и улучшения блоков.","ブロックの取り外し, 修理, 交換, 回転, およびアップグレードに使用される工具. ",用于拆卸或拆除、修理、更换、旋转和升级方块的工具,用於移除、修理、更換、旋轉與升級方塊的工具。,"블록 제거, 수리, 변경, 회전 및 업그레이드에 사용되는 도구",,"Εργαλεία που χρησιμοποιείται για την αφαίρεση, επισκευή, αλλαγή και αναβάθμιση μπλοκ","Gereedschap gebruikt voor het verwijderen, repareren, wijzigen, roteren en upgraden van blokken","Công cụ được sử dụng để tháo, sửa chữa, thay đổi, xoay và nâng cấp các khối"
bkiOfflineProtect,Placing this device in a structure yields offline protection on PvP playfields.,"Wenn du dieses Gerät in einer Struktur platzierst, erhältst du einen Offline-Schutz auf PvP-Spielfeldern im MULTIPLAYER..\nWICHTIG: Dieses Gerät funktioniert nur gut zusammen mit dem Gebietbeanspruchungsgerät!",Ce système protège la structure dont il fait partie pendant les parties PvP lorsque vous êtes déconnectés.,"Posizionando questo dispositivo in una struttura, otterrai protezione offline nelle aree di gioco PvP (MULTIGIOCATORE).\nIMPORTANTE: Funziona correttamente solo se è presente un Dispositivo di Rivendicazione!","Colocar este dispositivo en una estructura proporciona protección offline en campos PvP.",,,,"Установка этого устройства в какую-либо структуру дает ей защиту в PvP, когда вы не подключены к серверу.\nВАЖНО: Это устройство правильно работает только вместе с Устройством приземления!","このデバイスを構造内に配置することで, PvP プレイフィールド上のオフライン保護をもたらします. \n重要: このデバイスは, ランドクレイムデバイスとのみ適切に連携します！",,將此設備置於建築裡可提供PVP遊戲場地中的離線保護。\n注意:此設備要配合領地宣稱裝置才能正常運作,,,Η τοποθέτηση αυτής της συσκευής σε μια δομή παρέχει προστασία εκτός σύνδεσης σε πεδία αναπαραγωγής PvP σε MULTIPLAYER.\nΣΗΜΑΝΤΙΚΟ: Αυτή η συσκευή λειτουργεί σωστά μόνο μαζί με τη Συσκευή Διεδίκησης Γης! ,,Đặt thiết bị này trong một cấu trúc mang lại khả năng bảo vệ ngoại tuyến trên các sân chơi PvP. \n Thiết bị này hoạt động hiệu quả với Thiết bị Sở hữu đất
bkiOxygenBottleSmall,"Emergency O2 bottle that will refill some of your suit's internal tank, or can be deposited into a large oxygen tank.\n\n[c][00FF00]Use from the toolbar with LMB or from Inventory with Shift+RMB[-][/c]",Notfall-Sauerstoff: In Schnellzugriff legen und benutzen (LMT) oder aus Inventar mit Shift+RMT benutzen.,Petite bouteille O² produite uniquement par le Condensateur O²/H²O. Peut être utilisée depuis la barre outils (Clic gauche) ou depuis l'inventaire (Maj+Clic droit).,"Bombola di ossigeno di emergenza. Utilizza con Mouse Sx dalla Barra degli Strumenti, dall'inventario con Maiusc+Mouse Dx.","Botella de O2 de emergencia que rellenará parte del tanque interno de tu traje, o puede depositarse en un tanque de oxígeno grande.\n\n[c][00FF00]Usar desde la barra de herramientas con LMB o desde el inventario con Shift+RMB[-][/c]",Garrafa de O2 de emergência. Acrescentar à barra de ferramentas e utilizar com LMB ou diretamente do Inventário com Shift+RMB.,Frasco de emergência de O2. Adicione na barra de ferramentas e use com BtnEsq ou use diretamente do Inventário com Shift + BtnDir.,"Awaryjna butla z tlenem. Użyj z paska narzędzi za pomocą LPM, bądź też z inwentarza przy użyciu kombinacji Shift+PPM",Аварийный кислородный баллон. Добавьте его на панель инструментов и используйте при помощи ЛКМ. Используйте при помощи ЛКМ с панели инструментов или из инвентаря при помощи Shift+ПКМ.,緊急用O2ボトル. ツールバーでLMBで使用する. ,应急氧气瓶。拖到快捷栏选定后用鼠标左键使用或者直接在背包Shift+鼠标右键使用。,緊急氧氣瓶。加入工具列中按滑鼠左鍵使用或在物品欄中按Shift+滑鼠左鍵直接使用。,비상 O2통입니다. 툴바에 추가하고 LMB과 함께 사용하거나 Shift + RMB과 함께 인벤토리에서 직접 사용하십시오.,,Μπουκάλα Ο2 εκτάκτου ανάγκης. Βάλε τη στη γραμμή εργαλειών και χρησιμοποίησέ τη με το LMB η από τον αποθηκευτικό χώρο σου με τα Shift+RMB.,Nood O2-fles. Toevoegen aan de werkbalk en gebruiken met LMB of rechtstreeks gebruiken uit Voorraad met Shift + RMB.,Bình O2 khẩn cấp. Thêm vào thanh công cụ và sử dụng LMB hoặc sử dụng trực tiếp từ túi đồ với Shift + RMB.
bkiOxygenGenerator,"Converts H2O into oxygen bottles. Must be deployed in water\n--\n[u]Positioning:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, Mouseview\n[u]Place:[/u] Left Mouse button",Erzeugt O2 Flaschen aus H2O. Muss im Wasser platziert werden,"Extrait l'oxygène de l'eau, doit être en contact avec l'eau.","Converte [-][/c][u]l'Acqua[/u][c][ffffff] in [-][/c][u]Bombole di Ossigeno[/u][c][ffffff]. Dev'essere posizionato in acqua.\n--\n[u]Rotazione:[/u] PAG SU/GIÙ, HOME/FINE, INS/CANC\n[u]Posizionamento:[/u] Mouse Sx","Convierte H2O en botellas de oxígeno. Debe desplegarse en agua\n--\n[u]Posicionamiento:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, vista con ratón\n[u]Colocar:[/u] Botón izquierdo del ratón",Converte H2O em garrafas de oxigénio. Tem de ser implantado em água,Converta H2O em cilindros de oxigênio. Deve ser colocado na água,Pozyskuje tlen z wody. Musi być umieszczony w zbiorniku wodnym,"Перерабатывает воду в кислородные баллоны. Должен быть размещен в воде.\n--\n[u]Позиционирование:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, Мышкой\n[u]Размещене:[/u] ЛКМ","H2O を酸素ボトルに変換します. 水の中に設置する必要があります. \n--\n[u]位置決め:[/u]PAGE UP/DOWN, HOME/END, INS/DEL, Mouseview\n[u]配置:[/u]左マウスボタン",从水中提取氧气的设备，必须放置于水中。,"將水轉換為氧氣瓶。必須放置於水中\n--\n[u]改變位置:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, 游標視角\n[u]放置:[/u]滑鼠左鍵",H2O를 산소통으로 변환합니다. 반드시 물에서 설치해야 합니다.,,"Μετατρέπει το Η2Ο σε μπουκάλες οξυγόνου. Πρέπει να τοποθετηθεί στο νερό.\n--\n[u]Τοποθέτηση:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, Ποντίκι\n[u]Τοποθέτηση:[/u] Αριστερό Κουμπί Ποντικιού",Zet H2O om in zuurstofflessen. Moet in het water worden geplaatst,"Chuyển H2O vào bình đựng khí oxi. Phải được triển khai trong nước\n--\n[u]Vị trí:[/u] PAGE UP/DOWN, HOME/END, INS/DEL, Xoay chuột\n[u]Đặt:[/u] Nút chuột trái"
bkiOxygenStation,Device used for replenishing your suit oxygen. Requires oxygen tank filled from oxygen bottles to operate,Wird zum Auffüllen des Anzugsauerstoffes benötigt. Benötigt O2 Tank mit O2 Flaschen,Système alimenté en oxygène par un réservoir O² placé sur la même structure et qui permet de recharger votre combinaison en O².,Dispositivo utilizzato per ripristinare l'ossigeno della tuta. Richiede che i serbatoi di ossigeno della struttura siano riempiti con bombole di ossigeno per l'utilizzo.,"Dispositivo usado para reponer oxígeno de tu traje. Requiere tanque de oxígeno lleno desde botellas para funcionar",Dispositivo utilizado para reabastecer o seu fato de oxigénio. Requer depósito de oxigénio cheio de garrafas de oxigénio para funcionar,Dispositivo usado para reabastecer o oxigênio do seu traje. Requer o tanque de oxigênio preenchido com cilindros de oxigênio para operar,Urządzenie uzupełniające poziom tlenu w skafandrze. Do poprawnej pracy wymaga zbiornika wypełnionego tlenem,"Устройство используется для наполнения скафандра кислородом. Для работы требует кислородный бак, наполненный кислородными баллонами.",スーツの酸素を補充するために使用される装置. 動作させるには酸素ボトルが詰まった酸素タンクが必要です. ,给你的护甲充氧气的设备，需要氧气罐中有足够的氧气供给。,用於補充護甲內部氧氣的設備。需要裝有氧氣瓶的氧氣箱才能操作,알맞는 산소 보충에 사용되는 장치입니다. 작동하려면 산소통이 채워진 산소 탱크가 필요합니다.,,Συσκευή που χρησιμοποιείται για να τοποθετήσει οξυγόνο στην στολή σου. Απαιτεί δεξαμενές οξυγόνου γεμάτες με μπουκάλες οξυγόνου για να λειτουργήσει,Apparaat om zuurstof in je pak aan te vullen. Vereist een zuurstoftank gevuld met zuurstofflessen,Thiết bị được sử dụng để bổ sung oxy cho bộ đồ của bạn. Yêu cầu bình oxy chứa đầy bình oxy để hoạt động
bkiPlantSprout,This delicate sprout will not grow on terrain. You need highly fertile growing plot,Dieser zarte Keim wächst nicht auf normalem Boden. Es wird ein Pflanzenbeet benötigt,"Cette pousse de plante Alien ne peut pas se développer en pleine terre, elle a besoin d'un plot horticole",Questo delicato germoglio non crescerà più sul terreno. Hai bisogno di un terreno da coltivazione.,"Este delicado brote no crecerá en el terreno. Necesitas una parcela de cultivo altamente fértil",Este delicado rebento não cresce no solo. Precisa de uma parcela de terreno altamente fértil,Esta muda delicada não crescerá no terreno. Você precisa de um bloco de terra arada altamente fértil,Ten delikatny pęd nie jest w stanie urosnąć na zwykłej ziemi. Wymaga żyznej działki ogrodniczej aby go wyhodować,Этот нежный росток не сможет вырасти в земле. Ему требуется сверхплодородная почва растительного модуля.,"この繊細な苗は, 地形上では成長しません. 非常に肥沃な農地を必要とします",这种植物的嫩芽无法在地面生长。你必须制造专用的植物生长箱。,這根精緻的嫩芽不會在地形上生長。你需要極其肥沃的培養基,이 연약한 새싹은 지형에서 자랄 수 없습니다. 비옥한 성장 계획이 필요합니다.,,Αυτός ο λεπτός σπόρος δεν θα μεγαλώσει στο έδαφος. Χρειάζεται μία γόνιμη γλάστρα.,Dit delicate stekje groeit niet op het terrein. Je hebt een zeer vruchtbare groeiplaats nodig,Mầm mong manh này sẽ không mọc trên địa hình. Bạn cần mảnh đất phát triển màu mỡ cao
bkiPlayerArmor,"Armor provides protection from environmental and damage.\nEach suit includes a Jetpack (J), A spotlight (L) and Oxygen Tanks for oxygenless environments.\n\n[c][00FF00]An Armor Locker is required to equip or modify your suit.[-][/c]",Verwende einen Rüstungsspind zum Wechseln von mittleren und schweren Schutzanzügen.,Tu dois utiliser un casier d'armure pour équiper les armures moyennes et lourdes.,Devi utilizzare una Postazione Tuta per equipaggiare armature pesanti o leggere.,"La armadura proporciona protección contra daños y el entorno.\nCada traje incluye un Jetpack (J), un foco (L) y tanques de oxígeno para entornos sin oxígeno.\n\n[c][00FF00]Se requiere un Armario de Armadura para equipar o modificar tu traje.[-][/c]",,,,"Вам нужно использовать шкафчик для брони, чтобы экипировать среднюю и тяжелую броню.","ミディアム・ヘビーアーマーを装備するには, アーマーロッカーを使用する必要があります. ",,你必須使用護甲櫃才能更換中型跟重型護甲,,,Πρέπει να χρησιμοποιήσεις τον Φωριαμό Πανοπλίας για να αλλάξεις Πανοπλίες.,,Bạn cần sử dụng tủ giáp để thay đổi áo giáp nặng hoặc trung bình.
bkiThruster,Main thruster unit for main propulsion,Haupttriebwerk für Hauptantriebsschub,Propulseur principal,Unità di propulsione utilizzata per la propulsione primaria,"Unidad de propulsión principal",Unidade propulsora principal para propulsão principal,Turbina principal para propulsão,Podstawowy zespół napędowy do twojego statku,Главный двигатель для создания основной тяги,主推進のためのメインスラスタユニット,产生主要推进力的大型推进器组件。,作為主要推進裝置的主推進器單元,주 추진용 주 추진기,,Κύρια μονάδα προώθησης για κύρια ώθηση,Hoofdmotor voor hoofd aandrijving,Bộ phận đẩy chính cho động cơ đẩy chính
bkiThrusterDirectional,Smaller thruster unit for secondary propulsion,Kleineres Triebwerk für Zusatzschub,Petit propulseur secondaire,Unità di propulsione più piccola utilizzata per la propulsione secondaria,"Unidad de propulsión secundaria más pequeña",Unidade propulsora mais pequena para propulsão secundária,Unidade de propulsão menor para propulsão secundária,Pomniejszy zespół napędowy do twojego statku,Меньший двигатель для создания дополнительной тяги,二次推進のための小さいスラスタユニット,产生辅助推进力的小型推进器组件。,作為次要推進裝置的小型推進器單元,보조 추진용 소형 추진기,,Μικρότερη μονάδα προώθησης για δευτερεύουσα ώθηση,Kleinere motor unit voor secundaire voortstuwing,Bộ phận đẩy nhỏ hơn cho động cơ đẩy thứ cấp
bkiTruss,Lightweight support building block,Leichter Stahl-Konstruktionsblock,Bloc de construction léger,Blocco da costruzione leggero,"Bloque de soporte ligero",Bloco de construção luz,Bloco de luz,Lekki blok budowlany,Легкий строительный блок,軽量な建築ブロックです,轻型建筑方块,輕型建築方塊,라이트 빌딩 블록,,Ελαφρύ μπλοκ κατασκευής,Lamp bouw blok,Dùng để có ánh sáng
